C00001	丂
C00002	𠀀
C00003	𠀉
C00004	𠀔
C00005	㐁
C00006	𠀢
C00007	𠁁
C00008	𡭋
C00009	丨
C00010	丩
C00011	丯
C00012	𠁥
C00013	丳
C00014	𠁫
C00015	𠁭
C00016	丵
C00017	𣉄
C00018	丶
C00019	丼
C00020	丿
C00021	𠂆
C00022	乀
C00023	乁
C00024	𠂇
C00025	乇
C00026	玍
C00027	𠂔
C00028	𠂤
C00029	𠂥
C00030	𠂣
C00031	𠂹
C00032	𠃆
C00033	𠃑
C00034	𠃋
C00035	𠃉
C00036	𠃒
C00037	𠃖
C00038	乣
C00039	𠃡
C00040	㐌
C00041	乪
C00042	㐖
C00043	乵
C00044	乴
C00045	㐜
C00046	乿
C00047	𠃽
C00048	㐤
C00049	亃
C00050	亄
C00051	𠄅
C00052	亅
C00053	𠄌
C00054	𠄎
C00055	𠄍
C00056	𠄏
C00057	𠄑
C00058	𠄖
C00059	㐨
C00060	𠄚
C00061	𠄮
C00062	𠄭
C00063	𠄱
C00064	𠅈
C00065	𠅌
C00066	𠅣
C00067	亴
C00068	𠅬
C00069	𠆁
C00070	𠆎
C00071	亼
C00072	仈
C00073	𠆲
C00074	仠
C00075	㐲
C00076	𠇐
C00077	𠆩
C00078	仚
C00079	𠆶
C00080	伈
C00081	仹
C00082	伝
C00083	伂
C00084	伅
C00085	伢
C00086	伌
C00087	伓
C00088	伄
C00089	仯
C00090	㐻
C00091	㐼
C00092	仸
C00093	仴
C00094	伆
C00095	𠆺
C00096	伒
C00097	𠆵
C00098	𠇋
C00099	伭
C00100	佅
C00101	𠇱
C00102	伳
C00103	𠇘
C00104	佊
C00105	𠈀
C00106	伹
C00107	伷
C00108	伿
C00109	㑁
C00110	㑃
C00111	佡
C00112	𠈌
C00113	𠈪
C00114	侒
C00115	㑊
C00116	侂
C00117	侙
C00118	𠈋
C00119	侕
C00120	侓
C00121	侊
C00122	㑐
C00123	㑋
C00124	𠈕
C00125	𠈅
C00126	㑍
C00127	㑉
C00128	𠈬
C00129	佭
C00130	佫
C00131	𠈆
C00132	𠈈
C00133	𠈊
C00134	佮
C00135	㑎
C00136	俒
C00137	俕
C00138	𠈭
C00139	𠈱
C00140	𠈹
C00141	㑞
C00142	𠈸
C00143	㑝
C00144	侼
C00145	侾
C00146	侸
C00147	㑛
C00148	㑙
C00149	𠈺
C00150	㑜
C00151	俖
C00152	𠈵
C00153	侰
C00154	侱
C00155	𠉢
C00156	𠈶
C00157	侺
C00158	俀
C00159	侹
C00160	俈
C00161	俬
C00162	㑚
C00163	㑟
C00164	㑗
C00165	俆
C00166	𠊔
C00167	𠊧
C00168	𠉮
C00169	倧
C00170	𠊢
C00171	倵
C00172	倲
C00173	俹
C00174	倝
C00175	𠉧
C00176	㑣
C00177	倯
C00178	倴
C00179	俿
C00180	𠊣
C00181	倱
C00182	𠉶
C00183	𠉬
C00184	倎
C00185	𠉤
C00186	𠊥
C00187	倄
C00188	倁
C00189	俰
C00190	倃
C00191	𠈰
C00192	𠉣
C00193	倊
C00194	𠊦
C00195	㑦
C00196	偣
C00197	𠊶
C00198	偂
C00199	偤
C00200	𠊲
C00201	偙
C00202	𠋩
C00203	㑮
C00204	𠋧
C00205	偆
C00206	𠉩
C00207	𠋖
C00208	𠊷
C00209	㑯
C00210	偄
C00211	偧
C00212	𠌰
C00213	偦
C00214	偀
C00215	𠋬
C00216	𠋝
C00217	偒
C00218	偮
C00219	偔
C00220	𠋨
C00221	𠊰
C00222	偳
C00223	𠊵
C00224	偗
C00225	𠊬
C00226	𠊫
C00227	偑
C00228	𠋡
C00229	偱
C00230	𠌡
C00231	傠
C00232	傐
C00233	㑵
C00234	傏
C00235	傗
C00236	𠋲
C00237	𠌉
C00238	𠋸
C00239	𠋰
C00240	傈
C00241	傉
C00242	傆
C00243	傄
C00244	𠋳
C00245	𠋺
C00246	傇
C00247	𠋵
C00248	𠋻
C00249	傊
C00250	𠋷
C00251	𠋯
C00252	𠌋
C00253	㑶
C00254	㑳
C00255	傟
C00256	㑻
C00257	𠍀
C00258	㒀
C00259	𠌮
C00260	𠍨
C00261	𠌭
C00262	𠌴
C00263	僌
C00264	𠌲
C00265	傼
C00266	𠍩
C00267	傶
C00268	僀
C00269	傸
C00270	𠌱
C00271	𠍪
C00272	𠌾
C00273	㒁
